date,demand
1672531200,14807
1672617600,18681.0
1672704000,19289.0
1672790400,17837.0
1672876800,16594.0
1672963200,16231.0
1673049600,16738.0
1673136000,16487.0
1673222400,17386.0
1673308800,16456.0
1673395200,16212.0
1673481600,15089.0
1673568000,14636.0
1673654400,15153.0
1673740800,15204.0
1673827200,16512.0
1673913600,15030.0
1674000000,14935.0
1674086400,13979.0
1674172800,13989.0
1674259200,14558.0
1674345600,14681.0
1674432000,16149.0
1674518400,14910.0
1674604800,14640.0
1674691200,13816.0
1674777600,13739.0
1674864000,14629.0
1674950400,14910.0
1675036800,15875.0
1675123200,14204.0
1675209600,14259.0
1675296000,13832.0
1675382400,13627.0
1675468800,13982.0
1675555200,14496.0
1675641600,15882.0
1675728000,14944.0
1675814400,14605.0
1675900800,14271.0
1675987200,13481.0
1676073600,14638.0
1676160000,14800.0
1676246400,15570.0
1676332800,14387.0
1676419200,14828.0
1676505600,14432.0
1676592000,13954.0
1676678400,14829.0
1676764800,14498.0
1676851200,16739.0
1676937600,15358.0
1677024000,14917.0
1677110400,14802.0
1677196800,14046.0
1677283200,15280.0
1677369600,16095.0
1677456000,17012.0
1677542400,15489.0
1677628800,17069.0
1677715200,15070.0
1677801600,14811.0
1677888000,16900.0
1677974400,17114.0
1678060800,18170.0
1678147200,17769.0
1678233600,17544.0
1678320000,18622.0
1678406400,17553.0
1678492800,18828.0
1678579200,20080.0
1678665600,23710.0
1678752000,22218.0
1678838400,21706.0
1678924800,21496.0
1679011200,19803.0
1679097600,20504.0
1679184000,21702.0
1679270400,24773.0
1679356800,22263.0
1679443200,21862.0
1679529600,20910.0
1679616000,18868.0
1679702400,19828.0
1679788800,20893.0
1679875200,23250.0
1679961600,21079.0
1680048000,18422.0
1680134400,19819.0
1680220800,17769.0
1680307200,19014.0
1680393600,20298.0
1680480000,22738.0
1680566400,20787.0
1680652800,18868.0
1680739200,16826.0
1680825600,17401.0
1680912000,19109.0
1680998400,20657.0
1681084800,23864.0
1681171200,22291.0
1681257600,20592.0
1681344000,19877.0
1681430400,17641.0
1681516800,18524.0
1681603200,19308.0
1681689600,22594.0
1681776000,20911.0
1681862400,20793.0
1681948800,20292.0
1682035200,18108.0
1682121600,20438.0
1682208000,22291.0
1682294400,23928.0
1682380800,23082.0
1682467200,22065.0
1682553600,20644.0
1682640000,17230.0
1682726400,17998.0
1682812800,18455.0
1682899200,22652.0
1682985600,24171.0
1683072000,22364.0
1683158400,19974.0
1683244800,17949.0
1683331200,19764.0
1683417600,22950.0
1683504000,24425.0
1683590400,23726.0
1683676800,22147.0
1683763200,21882.0
1683849600,20904.0
1683936000,22819.0
1684022400,23152.0
1684108800,26749.0
1684195200,24760.0
1684281600,22307.0
1684368000,21934.0
1684454400,20621.0
1684540800,21692.0
1684627200,20780.0
1684713600,23736.0
1684800000,21497.0
1684886400,20209.0
1684972800,19130.0
1685059200,17312.0
1685145600,19796.0
1685232000,20678.0
1685318400,24042.0
1685404800,22020.0
1685491200,20737.0
1685577600,19767.0
1685664000,17565.0
1685750400,18904.0
1685836800,20466.0
1685923200,22930.0
1686009600,21028.0
1686096000,19901.0
1686182400,17300.0
1686268800,13103.0
1686355200,15549.0
1686441600,16504.0
1686528000,17371.0
1686614400,16288.0
1686700800,15649.0
1686787200,15442.0
1686873600,14530.0
1686960000,17030.0
1687046400,15539.0
1687132800,18526.0
1687219200,15477.0
1687305600,16254.0
1687392000,11088.0
1687478400,11359.0
1687564800,15431.0
1687651200,15647.0
1687737600,16822.0
1687824000,15053.0
1687910400,13112.0
1687996800,12890.0
1688083200,12639.0
1688169600,14538.0
1688256000,13442.0
1688342400,13502.0
1688428800,12622.0
1688515200,12719.0
1688601600,12080.0
1688688000,11682.0
1688774400,13552.0
1688860800,13275.0
1688947200,13406.0
1689033600,11149.0
1689120000,11420.0
1689206400,12251.0
1689292800,11619.0
1689379200,13385.0
1689465600,14094.0
1689552000,14803.0
1689638400,15161.0
1689724800,15067.0
1689811200,14897.0
1689897600,13005.0
1689984000,11977.0
1690070400,13678.0
1690156800,16530.0
1690243200,15553.0
1690329600,14658.0
1690416000,15248.0
1690502400,14287.0
1690588800,15934.0
1690675200,16498.0
1690761600,19084.0
1690848000,17533.0
1690934400,16794.0
1691020800,16673.0
1691107200,15158.0
1691193600,15518.0
1691280000,16215.0
1691366400,19791.0
1691452800,18557.0
1691539200,17441.0
1691625600,15744.0
1691712000,14904.0
1691798400,16950.0
1691884800,17724.0
1691971200,17472.0
1692057600,18215.0
1692144000,18766.0
1692230400,17510.0
1692316800,15550.0
1692403200,12491.0
1692489600,16951.0
1692576000,18954.0
1692662400,12872.0
1692748800,12148.0
1692835200,15895.0
1692921600,15208.0
1693008000,16595.0
1693094400,17343.0
1693180800,19183.0
1693267200,17957.0
1693353600,17049.0
1693440000,16164.0
1693526400,15025.0
1693612800,16292.0
1693699200,17094.0
1693785600,19056.0
1693872000,18447.0
1693958400,12614.0
1694044800,16674.0
1694131200,15624.0
1694217600,17613.0
1694304000,16946.0
1694390400,15971.0
1694476800,17829.0
1694563200,17149.0
1694649600,16446.0
1694736000,15295.0
1694822400,17258.0
1694908800,15102.0
1694995200,14682.0
1695081600,18058.0
1695168000,20249.0
1695254400,19900.0
1695340800,18470.0
1695427200,20624.0
1695513600,20297.0
1695600000,21751.0
1695686400,21081.0
1695772800,19774.0
1695859200,19228.0
1695945600,17477.0
1696032000,18943.0
1696118400,18245.0
1696204800,21386.0
1696291200,19655.0
1696377600,19418.0
1696464000,18757.0
1696550400,17266.0
1696636800,18769.0
1696723200,19720.0
1696809600,22155.0
1696896000,23097.0
1696982400,21242.0
1697068800,20247.0
1697155200,18861.0
1697241600,20037.0
1697328000,21502.0
1697414400,23041.0
1697500800,22327.0
1697587200,20793.0
1697673600,21225.0
1697760000,18956.0
1697846400,20792.0
1697932800,20725.0
1698019200,22923.0
1698105600,21168.0
1698192000,20123.0
1698278400,18076.0
1698364800,18859.0
1698451200,18992.0
1698537600,18998.0
1698624000,21360.0
1698710400,16536.0
1698796800,17423.0
1698883200,19526.0
1698969600,18619.0
1699056000,18906.0
1699142400,20184.0
1699228800,22188.0
1699315200,20947.0
1699401600,19702.0
1699488000,19725.0
1699574400,14864.0
1699660800,18254.0
1699747200,19274.0
1699833600,22110.0
1699920000,20299.0
1700006400,18920.0
1700092800,18368.0
1700179200,16483.0
1700265600,18462.0
1700352000,19645.0
1700438400,22481.0
1700524800,20698.0
1700611200,19657.0
1700697600,18655.0
1700784000,17368.0
1700870400,18902.0
1700956800,20156.0
1701043200,21020.0
1701129600,19707.0
1701216000,18971.0
1701302400,17704.0
1701388800,16604.0
1701475200,17846.0
1701561600,18762.0
1701648000,20609.0
1701734400,18770.0
1701820800,18265.0
1701907200,16725.0
1701993600,18010.0
1702080000,18507.0
1702166400,18830.0
1702252800,20026.0
1702339200,17989.0
1702425600,17359.0
1702512000,16957.0
1702598400,15742.0
1702684800,18427.0
1702771200,20494.0
1702857600,18603.0
1702944000,17324.0
1703030400,16657.0
1703116800,16030.0
1703203200,16378
1703289600,18298.0
1703376000,14707.0
1703462400,17969.0
1703548800,19918.0
1703635200,19013.0
1703721600,17514.0
1703808000,16936.0
1703894400,18494.0
1703980800,13954.0
1704067200,15543.0
1704153600,18620.0
1704240000,17883.0
1704326400,17250.0
1704412800,16077.0
1704499200,17523.0
1704585600,17277.0
1704672000,17725.0
1704758400,16446.0
1704844800,16011.0
1704931200,15444.0
1705017600,15070.0
1705104000,15859.0
1705190400,16267.0
1705276800,16881.0
1705363200,15829.0
1705449600,15189.0
1705536000,15103.0
1705622400,14405.0
1705708800,15867.0
1705795200,16136.0
1705881600,17233.0
1705968000,16169.0
1706054400,15470.0
1706140800,15061.0
1706227200,14996.0
1706313600,16231.0
